レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,DSPF_dp_qrd_inverse_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: use backward substitution to solve x=inv(R)*y）,use backward substitution to solve x=inv(R)*y,use backward substitution to solve x=inv(R)*y,,kernels/srv/c66/DSPF_dp_qrd_cn.c,共通/その他
,DSPF_dp_qrd_solver_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: for (col=0;col<=loop_count;col++)）,for (col=0;col<=loop_count;col++),for (col=0;col<=loop_count;col++),,kernels/srv/c66/DSPF_dp_qrd_cn.c,共通/その他
,DSPF_dp_bidiag_to_diag_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: for (i=Ncols-1;i>=0;i--)）,for (i=Ncols-1;i>=0;i--),for (i=Ncols-1;i>=0;i--),,kernels/srv/c66/DSPF_dp_svd_cn.c,共通/その他
,DSPF_dp_convert_to_bidiag_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: -------------------------------------------------------------------）,-------------------------------------------------------------------,-------------------------------------------------------------------,,kernels/srv/c66/DSPF_dp_svd_cn.c,共通/その他
,DSPF_dp_sort_singular_values_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: for (k=Ncols-1:k>=0;k--)）,for (k=Ncols-1:k>=0;k--),for (k=Ncols-1:k>=0;k--),,kernels/srv/c66/DSPF_dp_svd_cn.c,共通/その他
,DSPF_dp_svd_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: =======================================================================）,=======================================================================,=======================================================================,,kernels/srv/c66/DSPF_dp_svd_cn.c,共通/その他
,DSPF_sp_qrd_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: =======================================================================）,=======================================================================,=======================================================================,,kernels/srv/c66/DSPF_sp_qrd_cn.c,共通/その他
,DSPF_sp_qrd_inverse_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: use backward substitution to solve x=inv(R)*y）,use backward substitution to solve x=inv(R)*y,use backward substitution to solve x=inv(R)*y,,kernels/srv/c66/DSPF_sp_qrd_cn.c,共通/その他
,DSPF_sp_qrd_solver_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: for (col=0;col<=loop_count;col++)）,for (col=0;col<=loop_count;col++),for (col=0;col<=loop_count;col++),,kernels/srv/c66/DSPF_sp_qrd_cn.c,共通/その他
,DSPF_sp_bidiag_to_diag_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: for (i=Ncols-1;i>=0;i--)）,for (i=Ncols-1;i>=0;i--),for (i=Ncols-1;i>=0;i--),,kernels/srv/c66/DSPF_sp_svd_cn.c,共通/その他
,DSPF_sp_convert_to_bidiag_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: -------------------------------------------------------------------）,-------------------------------------------------------------------,-------------------------------------------------------------------,,kernels/srv/c66/DSPF_sp_svd_cn.c,共通/その他
,DSPF_sp_sort_singular_values_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: for (k=Ncols-1:k>=0;k--)）,for (k=Ncols-1:k>=0;k--),for (k=Ncols-1:k>=0;k--),,kernels/srv/c66/DSPF_sp_svd_cn.c,共通/その他
,DSPF_sp_svd_cn(),その他,タスクループ,一般的な制御ロジックを実行する（注記: =======================================================================）,=======================================================================,=======================================================================,,kernels/srv/c66/DSPF_sp_svd_cn.c,共通/その他
,svGenerate_3D_Bowl(),フレーム取得,タスクループ,"カメラ入力の受信やDMA転送を設定・実行してフレームを取得する（注記: ===============================================================================
*
* Name:    svGenerate_3D_Bowl()
*
* Description: Creates 3D Bowl Mesh in array of X, Y, Z coordinates for 3D SRV
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================）","===============================================================================
*
* Name:        svGenerate_3D_Bowl()
*
* Description: Creates 3D Bowl Mesh in array of X, Y, Z coordinates for 3D SRV
*
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================","===============================================================================
*
* Name:    svGenerate_3D_Bowl()
*
* Description: Creates 3D Bowl Mesh in array of X, Y, Z coordinates for 3D SRV
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================",,kernels/srv/c66/core_generate_3dbowl.c,共通/その他
,svGenerate_3D_GPULUT(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Repeat pixels if we try to access a pixel outside the camera input image）,Repeat pixels if we try to access a pixel outside the camera input image,Repeat pixels if we try to access a pixel outside the camera input image,,kernels/srv/c66/core_generate_gpulut.c,共通/その他
,Calculate1DErrorForPoint(),その他,タスクループ,一般的な制御ロジックを実行する,,,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,GetLineAfterRansac(),その他,タスクループ,一般的な制御ロジックを実行する,,,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svAssociatePointsToLine(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: ===============================================================================
*
* Name:    svAssociatePointsToLine()
*
* Description: Associates each boundary point to one of four lines or labels as outlier
*
*
* Input:
*  sv:          Handle for the SV structure
*  errThr:        Defines what classifies as an outlier     
*  candLineIdx:     Array with possible canidate points for each line
*  LineIdxArr:      Pointer for storing information correlating each point to a line
*  NumOutliers:     Pointer for storing the number of outliers
*
===============================================================================）","===============================================================================
*
* Name:       svAssociatePointsToLine()
*
* Description: Associates each boundary point to one of four lines or labels as outlier
*
*
* Input:
*   sv:                   Handle for the SV structure
*   errThr:               Defines what classifies as an outlier         
*   candLineIdx:          Array with possible canidate points for each line
*   LineIdxArr:           Pointer for storing information correlating each point to a line
*   NumOutliers:          Pointer for storing the number of outliers
*
===============================================================================","===============================================================================
*
* Name:    svAssociatePointsToLine()
*
* Description: Associates each boundary point to one of four lines or labels as outlier
*
*
* Input:
*  sv:          Handle for the SV structure
*  errThr:        Defines what classifies as an outlier     
*  candLineIdx:     Array with possible canidate points for each line
*  LineIdxArr:      Pointer for storing information correlating each point to a line
*  NumOutliers:     Pointer for storing the number of outliers
*
===============================================================================",tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svBinarizeImage(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: ===============================================================================
 *
 * Name:    svBinarizeImage()
 *
 * Description: Binarize input picture based on local mean
 *
 *
 * Input:
 *  sv:    Handle for the SV structure
 *  view_number: view id
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================）","===============================================================================
 *
 * Name:        svBinarizeImage()
 *
 * Description: Binarize input picture based on local mean
 *
 *
 * Input:
 *   sv:        Handle for the SV structure
 *   view_number: view id
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================","===============================================================================
 *
 * Name:    svBinarizeImage()
 *
 * Description: Binarize input picture based on local mean
 *
 *
 * Input:
 *  sv:    Handle for the SV structure
 *  view_number: view id
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================","buf_bwLumaFrame, buf_grayLumaFrame, bwLumaFrame, tivxPointDetectParams",kernels/srv/c66/core_point_detect.c,共通/その他
,svCheckAllDirections(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: ===============================================================================
 *
 * Name:      svCheckAllDirections()
 *
 * Description:   check if a boundary point meets some conditions
 *
 *
 * Input:
 *  sv:      Handle for the SV structure
 *
 * Returns:
 *         1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================）","===============================================================================
 *
 * Name:            svCheckAllDirections()
 *
 * Description:     check if a boundary point meets some conditions
 *
 *
 * Input:
 *   sv:            Handle for the SV structure
 *
 * Returns:
 *                  1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================","===============================================================================
 *
 * Name:      svCheckAllDirections()
 *
 * Description:   check if a boundary point meets some conditions
 *
 *
 * Input:
 *  sv:      Handle for the SV structure
 *
 * Returns:
 *         1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================","tivxPointDetectParams, bwLumaFrame",kernels/srv/c66/core_point_detect.c,共通/その他
,svCheckFPCondition(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: ===============================================================================
 *
 * Name:      svCheckFPCondition()
 *
 * Description:   check whether finder patterns are valid ones
 *
 *
 * Input:
 *  inputCenter:  detected finder patterns
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================）","===============================================================================
 *
 * Name:            svCheckFPCondition()
 *
 * Description:     check whether finder patterns are valid ones
 *
 *
 * Input:
 *   inputCenter:   detected finder patterns
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================","===============================================================================
 *
 * Name:      svCheckFPCondition()
 *
 * Description:   check whether finder patterns are valid ones
 *
 *
 * Input:
 *  inputCenter:  detected finder patterns
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================",tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svCheckPatternProfileHiDia(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: ===============================================================================
 *
 * Name:      svCheckPatternProfileHiDia()
 *
 * Description:   Check finder pattern profile in diagonal directions
 *
 *
 * Input:
 *  bwLumaFrame:  Binarized fisheye input
 *
 * Returns:
 *         1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================）","===============================================================================
 *
 * Name:            svCheckPatternProfileHiDia()
 *
 * Description:     Check finder pattern profile in  diagonal directions
 *
 *
 * Input:
 *   bwLumaFrame:   Binarized fisheye input
 *
 * Returns:
 *                  1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================","===============================================================================
 *
 * Name:      svCheckPatternProfileHiDia()
 *
 * Description:   Check finder pattern profile in diagonal directions
 *
 *
 * Input:
 *  bwLumaFrame:  Binarized fisheye input
 *
 * Returns:
 *         1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================",bwLumaFrame,kernels/srv/c66/core_point_detect.c,共通/その他
,svCheckPatternProfileLowDia(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: ===============================================================================
 *
 * Name:      svCheckPatternProfileLowDia()
 *
 * Description:   Check finder pattern profile in low diagonal directions
 *
 *
 * Input:
 *  bwLumaFrame:  Binarized fisheye input
 *
 * Returns:
 *         1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================）","===============================================================================
 *
 * Name:            svCheckPatternProfileLowDia()
 *
 * Description:     Check finder pattern profile in low diagonal directions
 *
 *
 * Input:
 *   bwLumaFrame:   Binarized fisheye input
 *
 * Returns:
 *                  1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================","===============================================================================
 *
 * Name:      svCheckPatternProfileLowDia()
 *
 * Description:   Check finder pattern profile in low diagonal directions
 *
 *
 * Input:
 *  bwLumaFrame:  Binarized fisheye input
 *
 * Returns:
 *         1 if the current pixel is candidate pixel of finder pattern
 * Effects:
 *
 ===============================================================================",bwLumaFrame,kernels/srv/c66/core_point_detect.c,共通/その他
,svGetCornerFromLine(),その他,タスクループ,一般的な制御ロジックを実行する（注記: y = ax + b）,y = ax + b,y = ax + b,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svGetFinderPatterns(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: ===============================================================================
 *
 * Name:    svGetFinderPatterns()
 *
 * Description: Find find patterns from a fisheye input
 *
 *
 * Input:
 *  sv:    Handle for the SV structure
 *  prms:   Scratch Buffers
 *  in_image  Input Luma image
 *
 *
 * Returns:
 *       1 if finder pattern are detected, 0 otherwise
 * Effects:
 *
 ===============================================================================）","===============================================================================
 *
 * Name:        svGetFinderPatterns()
 *
 * Description: Find find patterns from a fisheye input
 *
 *
 * Input:
 *   sv:        Handle for the SV structure
 *   prms:      Scratch Buffers
 *   in_image   Input Luma image
 *
 *
 * Returns:
 *              1 if finder pattern are detected, 0 otherwise
 * Effects:
 *
 ===============================================================================","===============================================================================
 *
 * Name:    svGetFinderPatterns()
 *
 * Description: Find find patterns from a fisheye input
 *
 *
 * Input:
 *  sv:    Handle for the SV structure
 *  prms:   Scratch Buffers
 *  in_image  Input Luma image
 *
 *
 * Returns:
 *       1 if finder pattern are detected, 0 otherwise
 * Effects:
 *
 ===============================================================================","tivxPointDetectParams, bwLumaFrame, buf_bwLumaFrame, buf_grayLumaFrame",kernels/srv/c66/core_point_detect.c,共通/その他
,svGetInitialLines(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svGetLine(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,,kernels/srv/c66/core_point_detect.c,共通/その他
,svGetLineFitError(),その他,タスクループ,一般的な制御ロジックを実行する,,,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svGetLineFrom2Pts(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: ===============================================================================
*
* Name:    svGetLineFrom2Pts()
*
* Description: Estimates line givin 2 points
*
*
* Input:
*  sv:       Handle for the SV structure
*  NaNSlope:    Pointer for storing NaNslope (1 or 0)
*  Slope:     Pointer for storing line slope
*  icpt:      Pointer for storing Y intercept
*  xIcpt:     Pointer for storing X intercept
*  lineIdx:    Line ID (1-4)
*
===============================================================================）","===============================================================================
*
* Name:        svGetLineFrom2Pts()
*
* Description: Estimates line givin 2 points
*
*
* Input:
*   sv:             Handle for the SV structure
*   NaNSlope:       Pointer for storing NaNslope (1 or 0)
*   Slope:          Pointer for storing line slope
*   icpt:           Pointer for storing Y intercept
*   xIcpt:          Pointer for storing X intercept
*   lineIdx:        Line ID (1-4)
*
===============================================================================","===============================================================================
*
* Name:    svGetLineFrom2Pts()
*
* Description: Estimates line givin 2 points
*
*
* Input:
*  sv:       Handle for the SV structure
*  NaNSlope:    Pointer for storing NaNslope (1 or 0)
*  Slope:     Pointer for storing line slope
*  icpt:      Pointer for storing Y intercept
*  xIcpt:     Pointer for storing X intercept
*  lineIdx:    Line ID (1-4)
*
===============================================================================",tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svInterpolateMissingBoundary(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する（注記: exclude in the next iteration）,exclude in the next iteration,exclude in the next iteration,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svRandomPerm(),その他,タスクループ,一般的な制御ロジックを実行する（注記: RAND_MAX assumed to be 32767）,RAND_MAX assumed to be 32767,RAND_MAX assumed to be 32767,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svRansacLineFit(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: ===============================================================================
*
* Name:    svRansacLineFit()
*
* Description: Calculates corner points & error using RANSAC to estimate the 4 lines 
*
*
* Input:
*  sv:       Handle for the SV structure
*  inX & inY:   Pattern Boundary Points
*  fcX & fcY:   Fiesheye Corrected Boundary Points
*  corner:     Pointer for storing coner locations
*  numPts:     Number of boundary points
*
* Returns:
*       returns line fit error measurement 
*
===============================================================================）","===============================================================================
*
* Name:        svRansacLineFit()
*
* Description: Calculates corner points & error using RANSAC to estimate the 4 lines 
*
*
* Input:
*   sv:             Handle for the SV structure
*   inX & inY:      Pattern Boundary Points
*   fcX & fcY:      Fiesheye Corrected Boundary Points
*   corner:         Pointer for storing coner locations
*   numPts:         Number of boundary points
*
* Returns:
*              returns line fit error measurement 
*
===============================================================================","===============================================================================
*
* Name:    svRansacLineFit()
*
* Description: Calculates corner points & error using RANSAC to estimate the 4 lines 
*
*
* Input:
*  sv:       Handle for the SV structure
*  inX & inY:   Pattern Boundary Points
*  fcX & fcY:   Fiesheye Corrected Boundary Points
*  corner:     Pointer for storing coner locations
*  numPts:     Number of boundary points
*
* Returns:
*       returns line fit error measurement 
*
===============================================================================",,kernels/srv/c66/core_point_detect.c,共通/その他
,svRefineFPCorner(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: warped index）,warped index,warped index,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,svUpdateBoundaryPoints(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: LDC）,LDC,LDC,tivxPointDetectParams,kernels/srv/c66/core_point_detect.c,共通/その他
,addMatrix(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Ncols: # of cols of inM1）,Ncols: # of cols of inM1,Ncols: # of cols of inM1,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,computeF(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: printMatrix(Nrows, Ncols, J);）","printMatrix(Nrows, Ncols, J);","printMatrix(Nrows, Ncols, J);",,kernels/srv/c66/core_pose_estimation.c,共通/その他
,computeJ(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: ******************* For Levenberg-Marquardt ********************）,******************* For Levenberg-Marquardt ********************,******************* For Levenberg-Marquardt ********************,,kernels/srv/c66/core_pose_estimation.c,共通/その他
,constructCalmat(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: ===============================================================================
*
* Name:    constructCalmat()
*
* Description: generate calmat from R and T
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================）","===============================================================================
*
* Name:        constructCalmat()
*
* Description: generate calmat from R and T
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================","===============================================================================
*
* Name:    constructCalmat()
*
* Description: generate calmat from R and T
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================",,kernels/srv/c66/core_pose_estimation.c,共通/その他
,copyCornerPoints(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: ===============================================================================
*
* Name:    copyCornerPoints()
*
* Description: rearrange detected corner points
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================）","===============================================================================
*
* Name:        copyCornerPoints()
*
* Description: rearrange detected corner points
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================","===============================================================================
*
* Name:    copyCornerPoints()
*
* Description: rearrange detected corner points
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================","tivxPoseEstimationParams, CameraIntrinsicParams",kernels/srv/c66/core_pose_estimation.c,共通/その他
,crossProduct(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: ///////////////////////////////////////////////）,///////////////////////////////////////////////,///////////////////////////////////////////////,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,estimateRtBetweenChartAndCamera(),初期化,タスクループ,"モジュールやパラメータを初期化し、実行準備を行う（注記: =======================================================================
*
* Name:    estimateRtBetweenChartAndCamera()
*
* Description: pose estimation based on DLT
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================）","=======================================================================
*
* Name:        estimateRtBetweenChartAndCamera()
*
* Description: pose estimation based on DLT
*
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================","=======================================================================
*
* Name:    estimateRtBetweenChartAndCamera()
*
* Description: pose estimation based on DLT
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================",tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,estimateRtBetweenChartAndCamera_ransac(),初期化,タスクループ,"モジュールやパラメータを初期化し、実行準備を行う（注記: =======================================================================
*
* Name:    estimateRtBetweenChartAndCamera_ransac()
*
* Description: pose estimation based on RANSAC
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================）","=======================================================================
*
* Name:        estimateRtBetweenChartAndCamera_ransac()
*
* Description: pose estimation based on RANSAC
*
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================","=======================================================================
*
* Name:    estimateRtBetweenChartAndCamera_ransac()
*
* Description: pose estimation based on RANSAC
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================",tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,estimateRt_LM(),初期化,タスクループ,"モジュールやパラメータを初期化し、実行準備を行う（注記: =======================================================================
*
* Name:    estimateRt_LM()
*
* Description: Levenberg - Marquardt algorithm to update pose
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================）","=======================================================================
*
* Name:        estimateRt_LM()
*
* Description: Levenberg - Marquardt algorithm to update pose
*
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================","=======================================================================
*
* Name:    estimateRt_LM()
*
* Description: Levenberg - Marquardt algorithm to update pose
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================",,kernels/srv/c66/core_pose_estimation.c,共通/その他
,extractRandT(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: =======================================================================
*
* Name:    extractRandT()
*
* Description: extract R and T
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================）","=======================================================================
*
* Name:        extractRandT()
*
* Description: extract R and T
*
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================","=======================================================================
*
* Name:    extractRandT()
*
* Description: extract R and T
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================",tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,getDiagonal(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,getPtArrFromIndex(),その他,タスクループ,一般的な制御ロジックを実行する,,,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,getX(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: ******************* For Levenberg-Marquardt ********************）,******************* For Levenberg-Marquardt ********************,******************* For Levenberg-Marquardt ********************,,kernels/srv/c66/core_pose_estimation.c,共通/その他
,initChartPoints(),初期化,タスクループ,"モジュールやパラメータを初期化し、実行準備を行う（注記: ===============================================================================
*
* Name:    initChartPoints()
*
* Description: Set chart positions
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================）","===============================================================================
*
* Name:        initChartPoints()
*
* Description: Set chart positions
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================","===============================================================================
*
* Name:    initChartPoints()
*
* Description: Set chart positions
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
* Effects:
*
===============================================================================",,kernels/srv/c66/core_pose_estimation.c,共通/その他
,initMatrix(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Ncols: # of cols of inM1）,Ncols: # of cols of inM1,Ncols: # of cols of inM1,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,initializePECameraIntrinsics(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,muliplyScalerMatrix(),その他,タスクループ,一般的な制御ロジックを実行する（注記: Ncols: # of cols of inM1）,Ncols: # of cols of inM1,Ncols: # of cols of inM1,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,multiplyMatrix(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Ncols2: # of cols of inM2）,Ncols2: # of cols of inM2,Ncols2: # of cols of inM2,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,myrandPE(),その他,タスクループ,一般的な制御ロジックを実行する（注記: RAND_MAX assumed to be 32767）,RAND_MAX assumed to be 32767,RAND_MAX assumed to be 32767,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,normalizeData_2d(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: multiply3(T2Inv, &sv->Hnorm, T1, &sv->H);）","multiply3(T2Inv, &sv->Hnorm, T1, &sv->H);","multiply3(T2Inv, &sv->Hnorm, T1, &sv->H);",tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,print_matrix3D_f(),その他,関数呼び出し,一般的な制御ロジックを実行する,,,,kernels/srv/c66/core_pose_estimation.c,共通/その他
,print_point2D_f(),その他,タスクループ,一般的な制御ロジックを実行する,,,,kernels/srv/c66/core_pose_estimation.c,共通/その他
,randomPerm(),その他,タスクループ,一般的な制御ロジックを実行する（注記: RAND_MAX assumed to be 32767）,RAND_MAX assumed to be 32767,RAND_MAX assumed to be 32767,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,scale2UnitMatrix(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,solveDelta(),表示制御,タスクループ,"処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: scale such that columns 1 and 2 are close to unit and H(3,3) is positive）","scale such that columns 1 and 2 are close to unit and H(3,3) is positive","scale such that columns 1 and 2 are close to unit and H(3,3) is positive",tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,subtractMatrix(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Ncols: # of cols of inM1）,Ncols: # of cols of inM1,Ncols: # of cols of inM1,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,svExtrinsicPoseEstimation(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: =======================================================================
*
* Name:    svExtrinsicPoseEstimation()
*
* Description: estimate pose of each camera
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================）","=======================================================================
*
* Name:        svExtrinsicPoseEstimation()
*
* Description: estimate pose of each camera
*
*
* Input:
*   sv:        Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================","=======================================================================
*
* Name:    svExtrinsicPoseEstimation()
*
* Description: estimate pose of each camera
*
*
* Input:
*  sv:    Handle for the SV structure
*
* Returns:
*
*
* Effects:
*
*
=======================================================================",tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
